,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,4.323958396911621,3.179246187210083,-5.571925640106201,3.7989439964294434,2.7562193870544434,-1635.9312744140625
2,3.5248289108276367,2.563734292984009,-7.024886131286621,3.268308639526367,2.50297474861145,-1.6504793167114258
3,2.725764274597168,1.94845712184906,-0.24450314044952393,2.2055115699768066,1.5449424982070923,0.3378022313117981
4,2.1209795475006104,1.4811347723007202,0.5157028436660767,1.9028072357177734,1.357853651046753,0.6144549250602722
5,1.8999316692352295,1.338327407836914,0.653458297252655,1.73702871799469,1.2474732398986816,0.7265439033508301
6,1.8321691751480103,1.32791006565094,0.6934971213340759,1.7032684087753296,1.238699197769165,0.7012006044387817
7,1.7004098892211914,1.2556068897247314,0.7399568557739258,1.5550928115844727,1.1885080337524414,0.8006748557090759
8,1.60509192943573,1.2145273685455322,0.7851485013961792,1.6848407983779907,1.2812546491622925,0.7020341157913208
9,1.501244306564331,1.1416795253753662,0.8180649280548096,1.4969452619552612,1.1383779048919678,0.8025774955749512
10,1.5092108249664307,1.1483029127120972,0.8184614181518555,1.4639827013015747,1.1242969036102295,0.8026208281517029
11,1.411583423614502,1.0877279043197632,0.8453028202056885,1.4676313400268555,1.119146704673767,0.8235970735549927
12,1.3791916370391846,1.0597695112228394,0.8531135320663452,1.7465009689331055,1.3740901947021484,0.7153785228729248
13,1.417641043663025,1.093949794769287,0.8411362171173096,1.4160951375961304,1.087408423423767,0.817870020866394
14,1.2993354797363281,1.004984974861145,0.8714724779129028,1.3525625467300415,1.0299174785614014,0.8592730164527893
15,1.3260971307754517,1.0225180387496948,0.8675247430801392,1.345638632774353,1.0249049663543701,0.8458490371704102
16,1.2583494186401367,0.9682095646858215,0.8815357089042664,1.2479116916656494,0.9423800706863403,0.8793501853942871
17,1.2004103660583496,0.9283328652381897,0.8927116394042969,1.2429091930389404,0.9418932795524597,0.8997435569763184
18,1.222741961479187,0.9397909045219421,0.8892529606819153,1.2994229793548584,0.9824849963188171,0.8955014944076538
19,1.1972171068191528,0.9167225360870361,0.894923210144043,1.2812470197677612,0.9661665558815002,0.8681038618087769
20,1.2451494932174683,0.9514433145523071,0.8849335312843323,1.2055186033248901,0.9193107485771179,0.8951374292373657
